month,avg_price,min_price,max_price,days_with_data
2024-04-01,409.38085521351206,385.67205810546875,423.909423828125,22
2024-05-01,414.02864490855825,391.2293701171875,427.24432373046875,22
2024-06-01,435.0069323087993,410.3736877441406,449.4044494628906,19
2024-07-01,441.95067110928625,415.1669006347656,464.0024719238281,22
2024-08-01,409.79948980158025,392.1434326171875,422.32769775390625,22
2024-09-01,421.76400299072264,399.3621520996094,436.1368713378906,20
2024-10-01,417.31184851604957,403.985107421875,430.0126953125,23
2024-11-01,416.7483734130859,406.082763671875,426.350830078125,20
2024-12-01,437.7256673177083,419.88568115234375,452.7194519042969,21
2025-01-01,426.7617462158203,413.4006042480469,445.4872741699219,20
2025-02-01,406.8235505756579,391.8106994628906,415.3674621582031,19
2025-03-01,387.55151214599607,378.0758972167969,400.2851257324219,20
