ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata
MSFT,10.160187475623344,original,Safe,2025-03-31,1.0,0,,0.07542870549425548,0.39059656182459335,0.05687635081333182,15.351019266523492,1.3371286861377543,0.12453432487771585,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 562624000000, 'total_liabilities': 240733000000}"
MSFT,10.53576313432981,original,Safe,2024-12-31,1.0,0,,0.07154550120060386,0.3811252336588637,0.0592866053066316,15.983775820763572,1.3092174409501607,0.1304219157966503,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 533898000000, 'total_liabilities': 231203000000}"
MSFT,10.327251190555334,original,Safe,2024-09-30,1.0,0,,0.06639605516497678,0.3612319387854604,0.05841537399643986,15.70613677201751,1.222844149772621,0.12539841265895876,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 523013000000, 'total_liabilities': 235290000000}"
MSFT,9.959306386543302,original,Safe,2024-06-30,1.0,0,,0.06725983720026632,0.33806424907695404,0.054523657507473205,15.164994792839966,1.1017333781998144,0.12637968771660585,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 512163000000, 'total_liabilities': 243686000000}"
MSFT,10.44106404400183,original,Safe,2024-03-31,1.0,0,,0.05917092561044861,0.32913943523824274,0.056953177430179136,15.989308381632291,1.0953128853467635,0.12773320943678695,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 484275000000, 'total_liabilities': 231123000000}"
MSFT,10.367624042315517,original,Safe,2023-12-31,1.0,0,,0.05605472651617866,0.3097110239332877,0.057446690949893534,15.908979814404407,1.025735072538637,0.13180096821220763,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 470558000000, 'total_liabilities': 232290000000}"
MSFT,10.815295721181093,original,Safe,2023-09-30,1.0,0,,0.18572630303846024,0.2964276501003847,0.06033177428581042,16.419249574969676,0.980641664185968,0.1267808472694236,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 445785000000, 'total_liabilities': 225071000000}"
MSFT,11.744386232381153,original,Safe,2023-06-30,1.0,0,,0.1944482202846768,0.28848282424218885,0.05887236149678622,17.960841013681453,1.002284292331096,0.13638901295221081,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 411976000000, 'total_liabilities': 205753000000}"
MSFT,12.937892532387565,original,Safe,2023-03-31,1.0,0,,0.20573656626886405,0.28476037128243986,0.058807434067900066,19.93202406131442,1.0500418003829455,0.13906516385679105,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 380088000000, 'total_liabilities': 185405000000}"
MSFT,13.183642791170247,original,Safe,2022-12-31,1.0,0,,0.2087630845530953,0.2725756545019641,0.05595635190590094,20.37029215222472,1.0094809719098645,0.1446899207794773,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 364552000000, 'total_liabilities': 181416000000}"
MSFT,12.84801856757946,original,Safe,2022-09-30,1.0,0,,0.2040752229115247,0.2567484935405688,0.059808107086474105,19.845003818578224,0.9320581254228915,0.1393113645965357,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 359784000000, 'total_liabilities': 186218000000}"
MSFT,12.078321830528807,original,Safe,2022-06-30,1.0,0,,0.20447867558381758,0.23100811314548844,0.056282205898476045,18.63607762603758,0.8398571846412974,0.14215820633702445,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 364840000000, 'total_liabilities': 198298000000}"
